country;incomeperperson;alcconsumption;armedforcesrate;breastcancerper100th;co2emissions;femaleemployrate;hivrate;internet userate;lifeexpectancy;oilperperson;polityscore;relectricperperson;suicideper100th;employrate;urbanrate;
Nicaragua;948.355.952;5.21;0.5265916;23.9;109681000.0;36.0;0.2;9.998.554.154;74.044;;9.0;1.268.265.778;1.212.226.868;5.879.999.924;56.74;
Lithuania;5.332.238.591;16.3;14.878.309;38.5;226255333.3;4.879.999.924;0.1;6.281.190.001;72.231;0.812369438;10.0;7.588.587.192;3.334.186;5.309.999.847;66.96;
Saudi Arabia;942.532.587;0.34;26.182.964;24.7;7861553333.0;1.770.000.076;;4.100.012.846;73.911;4.572.267.808;-10.0;3.433.932.449;6.401.537.895;5.120.000.076;82.42;
Belarus;2.737.670.379;18.85;37.119.299;36.0;999874333.3;4.859.999.847;0.3;3.205.214.391;70.349;0.68782808;-7.0;6.149.072.872;268.746.903;5.340.000.153;73.46;
Lesotho;4.957.342.469;5.56;0.2176526;13.1;;4.979.999.924;23.6;3.860.565.398;48.196;;8.0;;7.858.619.213;5.629.999.924;25.46;
Cape Verde;1.959.844.472;4.98;0.4833248;28.1;5214000.0;4.359.999.847;;2.999.993.952;74.156;;;;5.633.333.683;5.590.000.153;59.62;
Eritrea;131.796.207;1.64;98.201.265;19.5;7315000.0;5.170.000.076;0.8;5.399.666.997;61.597;;-7.0;2.028.813.109;8.913.362.503;6.490.000.153;20.72;
Uganda;3.774.211.133;16.4;0.3445177;18.3;49793333.33;80.0;6.5;1.250.025.543;54.116;;-1.0;;1.228.912.163;8.319.999.695;12.98;
Switzerland;3.766.275.125;11.41;0.52422;81.7;2406741333.0;57.0;0.4;8.216.665.988;82.338;1.487.412.187;10.0;2.361.033.336;1.323.981;6.430.000.305;73.48;
South Africa;3.745.649.852;10.16;0.3318626;35.0;14609848000.0;3.429.999.924;17.8;1.233.489.326;52.797;0.504659453;9.0;9.201.375.998;15.714.571;4.109.999.847;60.74;
Gabon;4.180.765.821;9.46;10.189.063;18.2;170804333.3;5.259.999.847;5.2;7.232.224.246;62.703;;3.0;5.371.047.381;7.745.064.735;59.0;85.04;
Georgia;1.258.762.596;6.66;14.507.353;51.8;81191000.0;48.5;0.1;2.629.725.148;73.737;;6.0;6.179.255.518;1.574.350.119;5.559.999.847;52.74;
Estonia;6.238.537.506;17.24;0.9984276;47.7;277170666.7;5.209.999.847;1.2;741.630.403;74.825;;9.0;1.411.230.532;1.695.924;56.5;69.46;
Argentina;1.074.941.924;9.35;0.560987;73.9;5872119000.0;4.590.000.153;0.5;3.600.033.495;75.901;0.635943801;8.0;7.684.282.997;7.765.584;5.840.000.153;92.0;
Cambodia;5.579.475.126;4.71;25.364.458;21.5;45411666.67;7.340.000.153;0.5;1.259.933.609;63.125;;2.0;5.158.131.958;4.961.071.491;7.890.000.153;21.56;
Oman;1.119.181.101;0.92;44.659.976;13.2;487993000.0;2.260.000.038;0.1;6.198.741.286;72.974;;-8.0;2.124.608.816;3.716.739.416;5.070.000.076;71.62;
Suriname;2.668.020.519;6.56;10.584.191;30.0;86317000.0;3.039.999.962;1.0;315.680.976;70.563;;;;207.474.308;4.470.000.076;74.92;
Gambia;3.545.997.263;3.58;0.1345905;6.4;7.355.333.333;6.569.999.695;2.0;9.196.775.477;58.491;;-5.0;;6.449.156.761;7.169.999.695;56.42;
Japan;3.930.947.886;7.79;0.3618584;32.7;46092214667.0;4.620.000.076;0.06;7.763.853.515;83.394;1.593.223.489;10.0;2.257.572.233;1.894.693;5.729.999.924;66.48;
Mozambique;3.897.636.343;2.27;0.1022692;3.9;107096000.0;8.219.999.695;11.5;4.170.136.385;50.239;;5.0;313.868.377;1.055.037.498;77.0;36.84;
Norway;3.997.235.277;8.35;0.7205279;74.8;1962704333.0;6.090.000.153;0.1;9.327.750.793;81.097;2.191.226.044;10.0;7.432.130.852;10.823;65.0;77.48;
Angola;1.381.004.268;5.57;14.613.288;23.1;248358000.0;6.940.000.153;2.0;9.999.953.883;51.093;;-2.0;1.729.992.274;1.455.467.701;7.569.999.695;56.7;
Yemen; Rep.;6.103.573.673;0.2;23.162.346;35.1;234864666.7;2.029.999.924;;1.234.975.046;65.493;;-2.0;1.300.578.314;6.265.789.032;39.0;30.64
Armenia;1.326.741.757;13.66;26.184.384;51.6;51219666.67;3.420.000.076;0.1;4.400.102.458;74.241;;5.0;6.037.630.576;3.741.587.877;4.009.999.847;63.86;
Costa Rica;5.188.900.935;5.81;0.4736536;30.9;148470666.7;4.009.999.847;0.3;3.649.911.472;79.311;;10.0;7.983.405.996;6.597.168;5.859.999.847;63.26;
Turkey;5.348.597.192;3.02;23.794.147;22.0;5675629667.0;2.189.999.962;0.06;3.982.017.789;73.979;0.394489111;7.0;5.506.966.103;356.332.469;4.279.999.924;68.68;
Moldova;5.958.745.345;23.01;0.5415062;49.6;149904333.3;4.359.999.847;0.4;401.222.347;69.317;;8.0;3.049.401.148;1.553.849;4.429.999.924;41.76;
Pakistan;668.547.943;0.05;16.494.507;50.1;2329308667.0;19.0;0.1;1.678.003.702;65.437;0.11809206;5.0;186.925.515;1.286.981.487;51.0;36.16;
Vietnam;7.228.075.588;3.91;10.853.671;16.2;1425435000.0;6.759.999.847;0.4;2.785.182.156;75.181;;-7.0;3.027.256.547;1.165.332.222;71.0;27.84;
Spain;1.546.175.837;11.83;0.9795374;50.9;10822529667.0;4.170.000.076;0.4;6.580.855.367;81.404;1.616.859.122;10.0;177.950.351;5.888.479;52.5;77.12;
Syria;1.525.780.116;1.49;59.558.471;44.8;1436893333.0;1.670.000.076;;2.066.315.568;75.85;;-7.0;8.150.310.909;0.523527563;4.479.999.924;54.22;
Uzbekistan;9.528.272.608;3.61;0.7096295;17.3;1718339333.0;5.259.999.847;0.1;1.944.502.055;68.287;0.182184525;-9.0;2.614.339.532;521.372;57.5;36.82;
Swaziland;1.810.230.533;5.05;;12.3;22704000.0;4.709.999.847;25.9;9.007.735.909;48.718;;-9.0;;1.287.222.195;5.090.000.153;24.94;
Croatia;6.338.494.668;15.0;11.032.787;62.1;310024000.0;3.940.000.153;0.06;6.011.970.702;76.64;;9.0;1.494.410.268;1.477.625;4.709.999.847;57.28;
Solomon Islands;1.144.102.193;1.37;;29.8;5.210.333.333;5.129.999.924;;5.001.375.465;67.852;;8.0;;4.484.752.655;65.0;17.96;
Ghana;3.589.795.398;3.11;0.1314868;28.1;188268666.7;6.409.999.847;1.8;9.549.930.701;64.228;;8.0;9.724.649.212;6.288.554.668;6.509.999.847;50.02;
Finland;2.711.073.159;13.1;11.774.157;84.7;2420300667.0;5.340.000.153;0.1;8.689.884.451;79.977;1.938.654.268;10.0;4.036.953.993;1.623.437;5.720.000.076;63.3;
Senegal;5.617.085.848;0.51;0.3622613;18.4;127108666.7;5.690.000.153;0.9;1.599.964.999;59.318;;7.0;5.579.474.354;681.143.856;6.559.999.847;42.38;
Bangladesh;5.580.628.766;0.17;0.2878915;16.6;598774000.0;5.359.999.847;0.06;370.000.326;68.944;0.032281466;5.0;6.811.522.858;1.453.835.678;6.809.999.847;27.14;
Guyana;1.200.652.075;8.7;0.8776657;29.5;69329333.33;4.179.999.924;1.2;2.987.992.146;69.927;;6.0;;3.575.287.247;5.890.000.153;28.38;
Ethiopia;2.208.912.479;4.1;0.3617085;24.7;119958666.7;73.0;;0.74999585;59.274;;1.0;1.505.623.591;1.007.194.233;8.069.999.695;17.0;
Russia;2.923.144.355;16.23;19.414.459;38.8;23404568000.0;5.379.999.924;1.0;4.336.649.772;68.823;1.032.469.884;4.0;8.259.411.107;2.787.416;5.879.999.924;72.84;
Israel;2.227.575.166;2.52;58.731.426;90.8;1561079667.0;4.640.000.153;0.2;6.538.778.594;81.618;;10.0;2.342.435.248;5.931.845;5.129.999.924;91.66;
Malaysia;5.184.709.328;0.87;11.421.267;30.8;2670950333.0;4.309.999.847;0.5;563.000.337;74.221;0.890813171;6.0;7.679.703.238;82.110.672;60.5;70.36;
Kuwait;;0.1;16.095.482;31.8;1712755000.0;42.0;;3.826.023.355;74.576;6.467.567.888;-7.0;8.362.567.977;1.498.057.424;6.569.999.695;98.36;
Malta;1.106.678.414;4.1;11.443.188;76.1;73784333.33;3.010.000.038;0.1;6.307.799.279;79.634;;;1.598.673.959;4.551.121.235;4.679.999.924;94.26;
Ecuador;1.728.020.976;9.43;10.179.463;23.5;692039333.3;45.5;0.4;2.899.947.674;75.632;0.732816541;5.0;3.148.261.997;8.504.684.448;5.970.000.076;65.58;
Mongolia;7.729.333.448;3.41;12.118.685;6.6;300934333.3;5.090.000.153;0.06;1.290.000.468;68.498;;10.0;3.038.054.487;1.308.961.582;5.209.999.847;57.18;
Kyrgyzstan;372.728.414;4.72;0.8377678;23.0;87970666.67;4.879.999.924;0.3;1.958.231.645;67.714;;1.0;4.283.123.071;9.875.281;5.890.000.153;36.28;
Germany;2.530.618.719;12.14;0.5758096;79.8;41229554667.0;4.679.999.924;0.1;8.252.689.791;80.414;1.398.500.033;10.0;1.693.891.898;9.211.085;53.5;73.64;
Macedonia; FYR;2.221.185.664;8.94;2.101.467;52.1;168883000.0;2.679.999.924;;5.191.418.432;74.847;;9.0;;7.876.878.262;3.490.000.153;66.9
Rwanda;3.382.663.912;9.99;0.7268554;8.8;20152000.0;80.5;2.9;1.300.000.612;55.442;;-3.0;;1.311.794.853;7.980.000.305;18.34;
China;2.425.471.293;5.56;0.3713568;18.7;101000000000.0;6.890.000.153;0.1;3.437.778.952;73.456;0.319532369;-7.0;331.376.632;1.691.324.806;7.280.000.305;43.1;
Burundi;1.153.059.959;9.65;11.577.498;19.5;8.092.333.333;8.330.000.305;3.3;2.100.212.706;50.411;;6.0;;1.468.093.586;8.319.999.695;10.4;
Slovak Republic;8.445.526.689;13.31;0.628578;48.0;590674333.3;4.529.999.924;0.06;7.988.977.734;75.446;0.677392785;10.0;830.701.647;1.064.574;5.340.000.153;56.56;
Bahamas;1.963.054.055;8.65;0.5452863;54.4;137555000.0;6.070.000.076;3.1;4.298.458.017;75.62;;;;3.374.415.874;6.659.999.847;83.7;
Poland;6.575.745.044;14.43;0.8101865;50.3;23053598333.0;4.209.999.847;0.1;6.247.123.013;76.126;0.687102793;10.0;7.043.997.516;1.363.706;4.870.000.076;61.32;
Iceland;3.394.531.442;7.38;0.0661;90.0;92770333.33;6.959.999.847;0.3;9.563.811.321;81.804;;;2.826.044.873;1.142.618.084;7.359.999.847;92.26;
Papua New Guinea;7.442.394.132;3.64;0.1051147;17.3;88337333.33;6.890.000.153;0.9;1.280.049.647;62.791;;4.0;;1.195.694.065;7.040.000.153;12.54;
Burkina Faso;276.200.413;7.32;0.1629041;30.6;20628666.67;7.580.000.305;1.2;14.000.607;55.439;;0.0;;8.204.221.725;8.130.000.305;19.56;
Venezuela;5.528.363.114;7.6;0.9040245;34.3;5418886000.0;4.579.999.924;;3.585.043.696;74.402;1.214.636.773;-3.0;9.690.043.388;411.962;5.990.000.153;93.32;
Morocco;1.844.351.028;1.24;20.858.528;22.5;953051000.0;2.220.000.076;0.1;4.900.063.184;72.15;;-6.0;2.090.945.173;2.109.413.624;4.620.000.076;56.02;
Zimbabwe;3.207.718.899;4.96;10.327.854;19.0;590219666.7;5.809.999.847;14.3;1.150.041.532;51.384;;1.0;2.978.832.004;1.390.526.676;6.680.000.305;37.34;
Romania;26.367.878;16.15;15.367.663;44.3;7104137333.0;4.379.999.924;0.1;4.002.009.488;73.979;0.423524289;9.0;4.675.658.077;1.005.932;49.5;54.24;
Brazil;4.699.411.262;10.08;0.7213964;46.0;9580226333.0;5.329.999.924;0.45;40.650.098;73.488;0.599651789;8.0;4.981.653.052;4.777.007;64.5;85.58;
Colombia;323.342.378;6.59;22.156.207;30.3;2269806000.0;5.490.000.153;0.5;3.649.987.464;73.703;0.237607469;7.0;4.045.913.654;4.907.702;6.320.000.076;74.5;
Botswana;4.189.436.587;6.97;11.319.097;33.4;78943333.33;3.870.000.076;24.8;5.999.835.575;53.183;;8.0;4.547.957.053;1.121.397.018;46.0;59.58;
Bulgaria;2.549.558.474;11.4;20.433.877;46.2;3157700333.0;4.209.999.847;0.1;4.598.658.991;73.371;0.560423531;9.0;1.380.869.289;9.216.544;4.729.999.924;71.1;
Congo; Dem. Rep.;1.037.758.572;3.39;0.628381;10.3;169180000.0;5.040.000.153;;0.720008677;48.397;;5.0;3.070.924.355;1.471.302.032;6.619.999.695;33.96
Madagascar;2.426.775.342;1.32;0.2351846;19.5;62777000.0;7.919.999.695;0.2;1.699.985.145;66.718;;0.0;;5.767.406.464;83.0;29.52;
India;7.867.000.981;2.69;0.5739204;19.1;30391317000.0;3.229.999.924;0.3;7.499.995.878;65.438;0.126978752;9.0;1.107.054.664;1.858.382.607;5.540.000.153;29.54;
Togo;2.852.244.493;1.92;0.3400308;28.1;32233666.67;4.840.000.153;3.2;5.379.819.715;57.062;;-4.0;6.623.852.193;6.369.887.829;6.390.000.153;42.0;
Benin;3.770.396.995;2.08;0.2233986;28.1;37950000.0;5.820.000.076;1.2;3.129.961.803;56.081;;7.0;3.822.294.336;6.057.739.735;7.159.999.847;41.2;
Luxembourg;5.230.158.718;12.84;0.7313362;82.5;592012666.7;4.590.000.153;0.3;9.007.952.663;79.963;;;1.566.106.139;1.240.591.812;53.5;82.44;
Sudan;5.239.501.515;2.56;0.969499;22.5;225019666.7;2.789.999.962;1.1;;61.452;;-4.0;5.089.210.138;9.709.555.626;4.729.999.924;43.44;
Peru;3.180.430.612;6.53;14.356.332;35.1;1146277000.0;5.979.999.924;0.4;3.430.060.399;73.99;0.288892973;9.0;239.389.457;1.658.907.771;6.830.000.305;71.4;
Afghanistan;;0.03;0.5696534;26.8;75944000.0;2.560.000.038;;3.654.121.623;48.673;;0.0;;66.843.853;5.570.000.076;24.04;
Egypt;1.975.551.906;0.32;32.908.071;24.2;3341129000.0;1.820.000.076;0.06;2.674.002.538;73.235;0.447479266;-3.0;5.367.604.507;1.799.903.631;4.240.000.153;42.72;
Portugal;1.174.483.417;13.89;1.616.886;55.5;1865922667.0;5.059.999.847;0.6;512.804.784;79.499;1.180.264.627;10.0;1.259.392.457;8.188.375.473;5.759.999.847;59.46;
Australia;2.524.998.606;10.21;0.4862799;83.2;12970092667.0;5.459.999.847;0.1;758.956.538;81.907;1.913.026.109;10.0;2.825.391.095;8.470.030.125;61.5;88.74;
Cameroon;7.136.393.027;7.9;0.305758;29.7;125172666.7;49.0;5.3;3.999.977.346;51.61;;-4.0;5.955.124.498;7.214.220.524;5.909.999.847;56.76;
Ukraine;1.036.830.725;17.47;0.9311688;39.9;5584766000.0;4.940.000.153;1.1;4.458.535.469;68.494;0.255234906;7.0;673.584.861;1.895.457;5.440.000.153;67.98;
Congo; Rep.;1.253.292.015;4.46;0.7716936;20.6;46306333.33;5.229.999.924;3.4;4.999.875.093;57.379;;-4.0;5.637.245.031;9.873.761.177;6.419.999.695;61.34
Jamaica;3.665.348.369;5.17;0.2437395;43.5;340090666.7;47.5;1.7;2.647.722.324;73.127;;9.0;3.684.346.061;4.417.507.172;5.820.000.076;53.3;
Chad;2.758.842.865;4.39;0.8358123;16.5;7.608.333.333;6.630.000.305;3.4;1.700.031.496;49.553;;-2.0;;8.283.070.564;6.890.000.153;26.68;
Cyprus;1.531.385.935;8.84;24.549.129;67.2;183535000.0;5.129.999.924;;5.302.474.483;79.591;;10.0;2.123.762.863;2.206.169;5.909.999.847;69.9;
France;2.287.846.657;12.48;12.337.802;91.9;33341634333.0;4.559.999.847;0.4;7.749.861.935;81.539;1.328.291.411;9.0;2.539.753.273;1.409.153;5.120.000.076;77.36;
Sudan;5.239.501.515;2.56;0.969499;22.5;225019666.7;2.789.999.962;1.1;;61.452;;-4.0;5.089.210.138;9.709.555.626;4.729.999.924;43.44;
Kazakhstan;2.481.718.918;11.1;0.9562696;38.7;2484925667.0;5.820.000.076;0.1;3.338.212.816;67.017;0.779964667;-6.0;484.098.988;254.046;6.370.000.076;57.94;
Dominican Rep.;4.049.169.629;6.28;1.469.369;36.1;446365333.3;40.5;0.9;3.953.127.426;73.396;;8.0;4.576.448.423;6.519.536.972;5.270.000.076;69.02;
Tajikistan;2.791.804.526;3.39;0.6048733;13.2;104170000.0;5.009.999.847;0.2;1.154.939.051;67.529;;-3.0;4.057.753.854;2.648.980.856;5.459.999.847;26.46;
Nepal;2.682.594.495;2.42;10.127.322;21.8;52657000.0;5.459.999.847;0.4;7.930.096.349;68.795;;6.0;3.154.456.397;1.165.520.954;6.179.999.924;17.24;
Iran;216.154.651;1.03;20.263.996;17.1;9183548000.0;2.689.999.962;0.2;1.300.011.072;72.974;1.162.576.448;-7.0;7.532.098.022;6.021.882.057;4.779.999.924;68.46;
Singapore;3.253.583.251;1.54;63.949.358;48.7;1548044667.0;5.129.999.924;0.1;7.113.170.731;81.126;1.222.864.499;-2.0;1.464.837.281;9.127.511;6.240.000.153;100.0;
Slovenia;127.294.544;14.94;11.602.817;58.9;214368000.0;4.940.000.153;0.06;6.933.997.072;79.341;;10.0;1.585.174.739;1.942.261;5.590.000.153;48.6;
Belgium;2.449.604.826;10.41;0.8156477;92.0;10897025333.0;4.170.000.076;0.2;7.373.393.447;80.009;;8.0;1.920.962.215;1.595.385;4.859.999.847;97.36;
Malaysia;5.184.709.328;0.87;11.421.267;30.8;2670950333.0;4.309.999.847;0.5;563.000.337;74.221;0.890813171;6.0;7.679.703.238;82.110.672;60.5;70.36;
New Zealand;1.477.816.393;9.99;0.3891575;91.9;1321661000.0;5.829.999.924;0.1;8.300.258.425;80.654;1.579.621.147;10.0;299.309.266;1.217.976;65.0;86.56;
Niger;180.083.376;0.34;0.2177167;23.3;30800000.0;38.0;0.8;0.829997485;54.675;;-3.0;;9.257.975.578;6.040.000.153;16.54;
Sierra Leone;2.683.317.903;9.48;0.5235483;28.1;29758666.67;6.340.000.153;1.6;;47.794;;7.0;;1.198.049.736;6.379.999.924;37.76;
Iran;216.154.651;1.03;20.263.996;17.1;9183548000.0;2.689.999.962;0.2;1.300.011.072;72.974;1.162.576.448;-7.0;7.532.098.022;6.021.882.057;4.779.999.924;68.46;
Honduras;1.392.411.829;4.43;0.7108232;25.9;131703000.0;3.420.000.076;0.8;1.109.076.463;73.126;;7.0;278.739.635;7.060.184.479;5.629.999.924;47.88;
Trinidad and Tobago;104.808.172;6.16;0.581165;51.1;;50.5;1.5;4.851.681.767;70.124;;10.0;2.261.316.713;1.454.716.682;61.5;13.22;
Djibouti;8.953.183.396;1.87;34.515.458;19.5;14054333.33;;2.5;649.792.351;57.937;;2.0;;4.993.475.914;;87.3;
Guinea;4.115.014.473;0.79;0.4026995;15.3;46684000.0;7.759.999.847;1.3;0.999958926;54.097;;-1.0;;7.443.826.199;81.5;34.44;
Denmark;3.053.227.704;12.02;1.012.373;88.7;3503877667.0;5.809.999.847;0.2;8.877.025.387;78.826;1.567.527.461;10.0;1.884.299.342;8.973.104;6.309.999.847;86.68;
Algeria;2.231.993.335;0.69;2.306.817;23.5;2932108667.0;3.170.000.076;0.1;1.250.007.331;73.131;0.420094525;2.0;5.905.098.143;4.848.769.665;50.5;65.22;
Belize;3.545.652.174;5.92;0.7583556;29.8;14058000.0;3.879.999.924;2.3;1.264.573.333;76.072;;;;9.388.795.853;5.679.999.924;51.7;
Hungary;5.634.003.948;16.12;0.8668624;63.0;4244009000.0;4.029.999.924;0.06;6.516.325.092;74.414;0.67109758;10.0;1.154.179.932;2.016.201;4.729.999.924;67.5;
Brunei;17092.46;1.86;4.683.989;20.6;254206333.3;55.5;;4.998.997.494;78.005;;;3.067.498.901;1.370.001.554;6.379.999.924;74.82;
Myanmar;;0.58;19.129.653;20.2;322960000.0;66.5;0.6;;65.193;;-6.0;3.800.563.737;1.011.499.691;7.469.999.695;32.58;
Bosnia and Herzegovina;2.183.344.867;9.6;0.4628471;58.9;236419333.3;3.490.000.153;;5.200.206.064;75.67;;;9.271.194.974;118.367.157;4.120.000.076;47.44;
Bahrain;1.250.521.254;4.19;52.311.429;40.2;503994333.3;3.020.000.076;;5.499.280.903;75.057;;-7.0;7.314.355.637;4.414.990.425;6.040.000.153;88.52;
Sweden;3.229.248.298;9.5;0.3520917;87.8;4286590000.0;5.670.000.076;0.1;9.001.619.002;81.439;1.545.893.802;10.0;4.304.514.402;1.111.583;6.070.000.076;84.54;
Uruguay;9.106.327.234;8.99;15.793.413;83.1;275744333.3;46.0;0.5;4.786.746.863;77.005;;10.0;8.238.231.975;1.453.727;57.5;92.3;
Malawi;1.841.417.966;1.44;0.1145925;10.5;28490000.0;69.0;11.0;2.259.975.885;54.21;;6.0;;1.017.173.481;7.180.000.305;18.8;
Liberia;1.550.332.312;5.07;0.1299529;18.8;38991333.33;5.320.000.076;1.5;7.000.213.821;56.786;;6.0;;71.848.526;66.0;60.14;
United Kingdom;2.803.348.928;13.24;0.5080181;87.2;72524250333.0;5.309.999.847;0.2;8.473.170.475;80.17;1.188.028.094;10.0;1.933.945.615;6.014.659;5.929.999.924;89.94;
Cote d'Ivoire;5.910.679.443;6.47;0.2339148;26.0;228748666.7;3.809.999.847;3.4;2.599.973.655;55.377;;0.0;7.038.744.444;2.031.793.022;5.990.000.153;48.78;
Lithuania;5.332.238.591;16.3;14.878.309;38.5;226255333.3;4.879.999.924;0.1;6.281.190.001;72.231;0.812369438;10.0;7.588.587.192;3.334.186;5.309.999.847;66.96;
Jordan;253.400.038;0.65;59.096.991;33.0;377303666.7;13.0;;3.888.120.159;73.403;;-3.0;7.194.765.302;0.201448724;3.890.000.153;78.42;
Paraguay;1.621.177.078;7.91;0.885386;34.4;95256333.33;6.530.000.305;0.3;1.980.168.119;72.477;;8.0;528.648.051;4.409.532;7.309.999.847;60.3;
Libya;7.885.468.037;0.1;33.116.742;23.4;1414031667.0;2.320.000.076;;1.400.024.673;74.788;;-7.0;8.460.149.226;4.667.024.612;4.859.999.847;77.54;
Zambia;432.226.337;3.56;0.3413352;13.0;132025666.7;53.5;13.5;1.012.498.646;49.025;;7.0;1.686.230.305;1.201.903.629;61.0;35.42;
Belarus;2.737.670.379;18.85;37.119.299;36.0;999874333.3;4.859.999.847;0.3;3.205.214.391;70.349;0.68782808;-7.0;6.149.072.872;268.746.903;5.340.000.153;73.46;
Vietnam;7.228.075.588;3.91;10.853.671;16.2;1425435000.0;6.759.999.847;0.4;2.785.182.156;75.181;;-7.0;3.027.256.547;1.165.332.222;71.0;27.84;
Indonesia;1.143.831.514;0.56;0.5159403;26.1;6710201667.0;4.409.999.847;0.2;9.900.038.672;69.366;0.248466951;8.0;2.219.614.614;1.139.611.149;61.5;51.46;
Turkmenistan;2.062.125.152;5.0;0.9314175;17.9;531303666.7;5.390.000.153;;2.199.997.818;64.986;111.067.147;-9.0;3.511.665.941;1.221.676.922;58.5;48.62;
Lebanon;6.746.612.632;2.3;54.065.355;52.5;428006333.3;2.229.999.924;0.1;3.100.437.828;72.64;;7.0;9.138.456.602;583.831.501;46.0;86.96;
